                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.61434,                 1.2406,                 1.0793,                 0.8403,                0.91231,                0.97979,                0.92522,                 0.5033,                 1.3075,                0.81526,             0.00029112,             0.00029112,             0.00029112
                     54,                0.59003,                 1.1003,                 1.0358,                0.88735,                0.92114,                0.97625,                0.92745,                0.49819,                 1.2344,                0.81742,              0.0002853,              0.0002853,              0.0002853
                     55,                0.58116,                 1.1231,                 1.0117,                 0.8873,                0.93877,                 0.9763,                0.92871,                0.49674,                 1.1848,                0.82517,             0.00027948,             0.00027948,             0.00027948
                     56,                0.59382,                 1.2117,                 1.0608,                0.88258,                0.95301,                0.97484,                 0.9204,                0.50823,                 1.1998,                0.83568,             0.00027366,             0.00027366,             0.00027366
                     57,                0.56441,                 1.1741,                 1.0294,                0.88802,                0.95413,                0.97563,                0.92011,                0.51334,                 1.2002,                0.84284,             0.00026783,             0.00026783,             0.00026783
                     58,                0.54411,                 1.0324,                0.99706,                 0.9054,                0.94962,                0.97392,                0.91785,                0.51755,                 1.1803,                0.84717,             0.00026201,             0.00026201,             0.00026201
                     59,                0.56714,                 1.0576,                 1.0245,                0.93153,                0.93932,                0.97553,                0.92474,                0.51238,                 1.1505,                0.84317,             0.00025619,             0.00025619,             0.00025619
                     60,                0.54666,                0.97895,                 1.0082,                0.94823,                0.94281,                0.97746,                0.92255,                0.50211,                 1.1397,                0.83737,             0.00025037,             0.00025037,             0.00025037
                     61,                0.53554,                 1.0724,                 1.0059,                 0.9186,                0.95159,                0.97667,                0.92805,                0.49772,                 1.1326,                0.83552,             0.00024455,             0.00024455,             0.00024455
                     62,                0.54129,                 1.0853,                 1.0285,                0.90872,                0.94305,                0.97324,                0.93152,                0.49276,                 1.1182,                 0.8327,             0.00023873,             0.00023873,             0.00023873
                     63,                0.50774,                 1.0553,                 1.0123,                0.89855,                0.94385,                0.97211,                0.93257,                0.48007,                 1.1174,                0.83069,             0.00023291,             0.00023291,             0.00023291
                     64,                0.48217,                 1.0033,                0.95512,                0.91379,                0.93576,                0.97355,                0.92895,                0.46506,                 1.1195,                0.82842,             0.00022709,             0.00022709,             0.00022709
                     65,                0.51772,                 1.0832,                0.99171,                0.92857,                0.93529,                0.97446,                0.93203,                0.45795,                 1.1057,                 0.8269,             0.00022126,             0.00022126,             0.00022126
                     66,                0.51054,                 1.0018,                 1.0285,                0.91063,                0.96627,                0.97798,                0.93971,                0.46339,                 1.0964,                0.82669,             0.00021544,             0.00021544,             0.00021544
                     67,                0.47941,                0.97849,                0.98286,                0.92501,                0.95728,                0.97928,                0.94042,                0.47386,                 1.0888,                0.82842,             0.00020962,             0.00020962,             0.00020962
                     68,                0.50935,                0.96124,                0.98104,                0.92184,                0.96433,                 0.9794,                0.94139,                0.48676,                 1.0965,                0.83134,              0.0002038,              0.0002038,              0.0002038
                     69,                0.51278,                  1.103,                 1.0358,                0.91481,                 0.9692,                0.98076,                0.93917,                0.49165,                  1.093,                0.83282,             0.00019798,             0.00019798,             0.00019798
                     70,                0.49558,                0.93409,                0.95515,                0.90281,                0.97316,                 0.9808,                0.94246,                0.48428,                 1.0817,                0.82778,             0.00019216,             0.00019216,             0.00019216
                     71,                0.50899,                0.98017,                 1.0096,                0.91469,                0.95853,                0.98179,                0.94453,                0.47233,                 1.0731,                0.81919,             0.00018634,             0.00018634,             0.00018634
                     72,                0.50752,                 1.0973,                 1.0345,                0.93471,                0.95534,                0.97998,                0.94262,                0.46234,                 1.0572,                0.81446,             0.00018052,             0.00018052,             0.00018052
                     73,                0.48747,                0.88856,                0.97331,                0.93765,                0.96147,                0.98133,                0.94443,                0.45162,                  1.057,                0.80873,             0.00017469,             0.00017469,             0.00017469
                     74,                0.49077,                0.94231,                0.99176,                0.93465,                0.95719,                0.98147,                0.94335,                0.44689,                 1.0531,                0.80382,             0.00016887,             0.00016887,             0.00016887
                     75,                0.50764,                0.91847,                0.97037,                0.92882,                0.95762,                0.98073,                0.94532,                0.44095,                 1.0382,                0.79988,             0.00016305,             0.00016305,             0.00016305
